date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
1988-11-25,36.2544,36.7472,35.9968,36.5008,431200,0.256,-1.01,143368960.0
1988-11-28,36.5008,36.7472,35.9968,36.5008,1244300,0.256,0.0,146112960.0
1988-11-29,36.5008,36.7472,35.9968,36.7472,827400,0.2577,0.66,138601120.0
1988-11-30,36.7472,38.0016,36.7472,37.6208,1498600,0.2638,2.37,139808480.0
1988-12-01,37.7552,38.9984,37.4976,38.752,1894300,0.2718,3.03,139990480.0
1988-12-02,38.248,39.872,38.0016,39.2448,2979600,0.2752,1.25,144553360.0
1988-12-05,39.5024,39.9952,38.752,39.5024,1378700,0.277,0.65,144584160.0
1988-12-06,39.2448,39.7488,38.9984,39.5024,936900,0.277,0.0,141326640.0
1988-12-07,38.9984,39.5024,38.752,39.3792,876200,0.2762,-0.29,138507040.0
1988-12-08,39.2448,39.2448,38.752,39.1216,530900,0.2744,-0.65,131393920.0
1988-12-09,39.2448,39.5024,38.752,39.1216,401400,0.2744,0.0,128646000.0
1988-12-12,39.2448,39.5024,38.5056,38.5056,1052500,0.27,-1.6,129105760.0
1988-12-13,38.5056,38.752,38.248,38.752,1094200,0.2718,0.67,130971680.0
1988-12-14,38.5056,39.9952,38.5056,39.7488,1725900,0.2787,2.54,136636640.0
1988-12-15,39.9952,40.4992,39.2448,39.5024,1005100,0.277,-0.61,134873200.0
1988-12-16,39.5024,40.4992,39.2448,40.1296,1638300,0.2814,1.59,140070560.0
1988-12-19,40.2528,41.0032,39.9952,40.7456,2092200,0.2857,1.53,148907360.0
1988-12-20,41.0032,41.496,40.6224,41.0032,2448100,0.2875,0.63,151521440.0
1988-12-21,41.0032,42.0,41.0032,41.7536,2160400,0.2928,1.84,156210320.0
1988-12-22,41.7536,42.0,40.7456,41.0032,946700,0.2875,-1.81,152112240.0
1988-12-23,41.0032,41.3728,41.0032,41.1264,365700,0.2884,0.31,151745440.0
1988-12-27,41.0032,41.496,40.4992,40.4992,535600,0.284,-1.53,147776720.0
1988-12-28,40.4992,40.7456,39.7488,40.2528,460200,0.2823,-0.6,145720400.0
1988-12-29,40.2528,40.7456,40.2528,40.4992,1051900,0.284,0.6,143218880.0
